ADSID,IBRA_REGION,LONGITUDE,LATITUDE,SITE,SITE_TYPE,LAB_CODE,AGE,ERROR,C13_AGE,C13_ERROR,MATERIAL,MATERIAL_TOP_LEVEL,CONTEXT,DEPTH_FROM_SURFACE_CM,METHOD,TECHNIQUE,Data pertinent for time-series analysis or calibration,Open or Closed Site,Directly Related to occupation? Yes/Unknown,SOURCE,NOTES,RECORD_SOURCE,DATE_ISSUES,AGE_NORM,ADDITIONAL_DATA_ISSUES,
11031,South East Coastal Plain,142.35,-38.32,Goose Lagoon Midden,Midden,V-5,2120,110,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,"Science Museum of Victoria cit. Godfrey et al., 1996",From an Aboriginal midden on a 25-ft emerged shoreline. This sample was analysed mutliple times (n=4). All duplicates are identified as V-5. No information on the preferred date is indicated.,c14,,2120,,
11032,South East Coastal Plain,142.35,-38.32,Goose Lagoon Midden,Midden,SUA-88,3115,85,,,Marine shell,Marine Shell,1972/8,,Radiocarbon,,Marine,Open,Y,"Gillespie & Temple, 1979; Gill, n.d. cit. Bird & Frankel, 1991","Sample taken by E. D. Gill as part of a coastal process study. This sample was referred to as coming from a midden, but interpretation suggests coastal processes were involved. Sample undertaken on limpet shell. Referred to by Bird & Frankel (1991) as 'dura bay'.",c14,,3115,,
11033,South East Coastal Plain,142.36,-38.35,Gormans Road 1,Midden,Beta-70063,30,50,,,Notohaliotus ruber shell,Marine Shell,Layer 2,15-45,Radiocarbon,,Marine,Open,U,Aboriginal Affairs Victoria cit. Godfrey et al. 1996,A sample referred to as part of a large-scale compilation of radiocarbon dates in Victoria.,c14,,30,Information within this entry has been inferred by authors - see Notes,
11034,South East Coastal Plain,142.36,-38.35,Gormans Road 1,Midden,Beta-68161,120,80,,,Charcoal,Charcoal,Layer 2,5-10,Radiocarbon,,Terrestrial,Open,Y,Aboriginal Affairs Victoria cit. Godfrey et al. 1996,A sample referred to as part of a large-scale compilation of radiocarbon dates in Victoria. This sample was taken from a possible hearth.,c14,,120,Information within this entry has been inferred by authors - see Notes,
11035,South East Coastal Plain,142.56,-38.4,Hopkins Road,Midden,SUA-2229,680,60,,,Subninella undulata shell,Marine Shell,Shells on Annandale Farm,,Radiocarbon,,Marine,Open,U,Gill unpub. cit.Godfrey et al. 1996,A sample referred to as part of a large-scale compilation of radiocarbon dates in Victoria. This sample was taken from shells at a site on the banks of the Hopkins River near Warrnambool.,c14,,680,Information within this entry has been inferred by authors - see Notes,
11036,South East Coastal Plain,147.01,-38.49,Jack Smith Lake 21,Midden,ANU-3242,3130,80,,,Ostrea angasi shell,Marine Shell,,,Radiocarbon,,Marine,Open,Y,"Hotchin 1982 cit. Boot, 2002; Hotchin, 1982. cit Godfrey et al., 1996","References published date as 2680+/-78 following correction for oceanic effect, -450 +/-35, after Gillespie & Temple (1979). Uncorrected values presented here. Date occurs above the lowest archaeological deposits at the site.",c14,,3130,Information within this entry has been inferred by authors - see Notes,
11037,South East Coastal Plain,147.01,-38.49,Jack Smith Lake 22,Midden,ANU-3243,660,80,,,Donax deltoides shell,Marine Shell,,,Radiocarbon,,Marine,Open,Y,"Hotchin 1982 cit. Boot, 2002; Hotchin, 1982. cit Godfrey et al., 1996","References published date as 210+/-87 following correction for oceanic effect, -450 +/-35, after Gillespie & Temple (1979). Uncorrected values presented here. Basal date of site.",c14,,660,Information within this entry has been inferred by authors - see Notes,
11038,South East Coastal Plain,147.01,-38.49,Jack Smith Lake 4,Midden,ANU-3255,4280,90,,,Anadara trapezia shell,Marine Shell,,,Radiocarbon,,Marine,Open,Y,"Hotchin 1982 cit. Boot, 2002; Hotchin, 1982. cit Godfrey et al., 1996","References published date as 3830+/-97 following correction for oceanic effect, -450 +/-35, after Gillespie & Temple (1979). Uncorrected values presented here. Basal date of site.",c14,,4280,Information within this entry has been inferred by authors - see Notes,
11039,South East Coastal Plain,147.01,-38.49,Jack Smith Lake 9,Midden,ANU-3256,880,80,,,Donax deltoides shell,Marine Shell,,,Radiocarbon,,Marine,Open,U,"Hotchin, 1982. cit Godfrey et al., 1996",A sample referenced as part of a compilation of Victorian radiocarbon dates. This sample comes from an eroding shell midden.,c14,,880,Information within this entry has been inferred by authors - see Notes,
11040,South East Coastal Plain,142.37,-38.35,Koroit Beach,Midden,Not given,538,200,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,"Gill, 1955; Gill, 1955 cit. Tindale, 1957b, Mahoney, 1964","This date was taken from a midden on the coastal dunes of Armstrong Bay. The site was rich in stone artefacts and faunal remains. Date relates to the Mudukian implements at this site and the presence of a now extinct species, Sacrophilus harrisii.",c14,,538,,
11041,South East Coastal Plain,147.41,-38.2,Lett's Beach,Midden,ANU-5811,2390,93.776329636,,,Marine shell,Marine Shell,,,Radiocarbon,,Unusuable,Open,Y,"Hotchin 1990 cit. Boot, 2002","References published date as 1940+/-87 following correction for oceanic effect, -450 +/-35, after Gillespie & Temple (1979). Uncorrected values presented here. Original author considers date erronoeous",c14,Date is considered erroneous - see Notes,2390,Information within this entry has been inferred by authors - see Notes,
11042,South East Coastal Plain,141.29,-38.21,"McEarchern's Rocks Survey Area, Site 1, Midden 1",Midden,Wk-1152,5970,70,,,Marine shell,Marine Shell,,,Radiocarbon,,Marine,Open,Y,"Godfrey, 1989","This date comes from the a survey of Discovery Coastal Park on the border of VIC/SA. The survey identified over 1000 middens dated primarily between b490 and 3860 BP, and were dominated by Donax sp. and Brachidontes sp (lesser representations of Mytilus and Ostrea sp. were also present). This date was published with a 450-yr marine correction, which has not been included here.",c14,,5970,,
11043,South East Coastal Plain,147.09,-38.45,McGuaran's Beach,Midden,ANU-5810,3480,93.776329636,,,Marine shell,Marine Shell,,,Radiocarbon,,Marine,Open,Y,"Hotchin 1990 cit. Boot, 2002","References published date as 3030 +/-87 following correction for oceanic effect, -450 +/-35, after Gillespie & Temple (1979). Uncorrected values presented here. Basal date of site.",c14,,3480,Information within this entry has been inferred by authors - see Notes,
11044,South East Coastal Plain,142.45,-38.38,Merri Canal,Midden,Not given,6500,200,,,Marine shell,Marine Shell,,,Radiocarbon,,Marine,Open,U,"Gill, 1967 cit. Coutts, 1989","This date is referenced in Coutts (1989) in his discussion of the Tower Hill volcanic eruptions. Little information is given, the paper indicates that this sample comes from a midden post-dating the eruption.",c14,,6500,Information within this entry has been inferred by authors - see Notes,
11045,South East Coastal Plain,145.01,-38.27,Mount Martha North 1,Midden,Beta-16548,130,70,,,Marine shell,Marine Shell,,,Radiocarbon,,Marine,Open,Y,Aboriginal Affairs Victoria cit. Godfrey et al. 1996,A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample comes from the base of a shell midden on a clay cliffline near Port Phillips Bay. No further contextual information provided.,c14,,130,,
11046,South East Coastal Plain,145.01,-38.27,Mount Martha North 1,Midden,Beta-16549,230,60,,,Marine shell,Marine Shell,,,Radiocarbon,,Marine,Open,Y,Aboriginal Affairs Victoria cit. Godfrey et al. 1996,A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample comes from the top of a shell midden on a clay cliffline near Port Phillips Bay. No further contextual information provided.,c14,,230,,
11047,South East Coastal Plain,141.29,-38.21,"Noble's Rock, Site 32, Midden 1",Midden,Wk-1104,5290,70,,,Marine shell,Marine Shell,,,Radiocarbon,,Marine,Open,Y,"Godfrey, 1989","This date comes from the a survey of Discovery Coastal Park on the border of VIC/SA. The survey identified over 1000 middens dated primarily between b490 and 3860 BP, and were dominated by Donax sp. and Brachidontes sp (lesser representations of Mytilus and Ostrea sp. were also present). This date was published with a 450-yr marine correction, which has not been included here.",c14,,5290,,
11048,South East Coastal Plain,141.29,-38.21,Noble's Rocks Survey Area 4/1,Midden,Wk-2000,8800,60,,,Mylitus planulatus shell,Marine Shell,,,Radiocarbon,,Marine,Open,Y,"Godfrey et al., 1996",A sample referred to as part of a large-scale compilation of radiocarbon dates in Victoria. This sample comes from a shell midden within a terra rosa soil on a Pleistocene dune cliff.,c14,,8800,,
11049,South East Coastal Plain,141.29,-38.21,"Noble's Rocks Survey Area, Site 1, Midden 1",Midden,Wk-410,8340,110,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,"Godfrey, 1989","This date comes from the a survey of Discovery Coastal Park on the border of VIC/SA. The survey identified over 1000 middens dated primarily between b490 and 3860 BP, and were dominated by Donax sp. and Brachidontes sp (lesser representations of Mytilus and Ostrea sp. were also present). This date was published with a 450-yr marine correction, which has not been included here.",c14,,8340,,
11050,South East Coastal Plain,141.29,-38.21,"Noble's Rocks Survey Area, Site 1, Midden 1",Midden,Wk-605,8840,80,,,Marine shell,Marine Shell,,,Radiocarbon,,Marine,Open,Y,"Godfrey, 1989","This date comes from the a survey of Discovery Coastal Park on the border of VIC/SA. The survey identified over 1000 middens dated primarily between b490 and 3860 BP, and were dominated by Donax sp. and Brachidontes sp (lesser representations of Mytilus and Ostrea sp. were also present). This date was published with a 450-yr marine correction, which has not been included here.",c14,,8840,,
11051,South East Coastal Plain,141.29,-38.21,"Noble's Rocks Survey Area, Site 3, Midden 1",Midden,Wk-1140,6860,70,,,Marine shell,Marine Shell,,,Radiocarbon,,Marine,Open,Y,"Godfrey, 1989","This date comes from the a survey of Discovery Coastal Park on the border of VIC/SA. The survey identified over 1000 middens dated primarily between b490 and 3860 BP, and were dominated by Donax sp. and Brachidontes sp (lesser representations of Mytilus and Ostrea sp. were also present). This date was published with a 450-yr marine correction, which has not been included here.",c14,,6860,,
11052,South East Coastal Plain,141.29,-38.21,"Noble's Rocks Survey Area, Site 3, Midden 2",Midden,Wk-1141,7320,70,,,Marine shell,Marine Shell,,,Radiocarbon,,Marine,Open,Y,"Godfrey, 1989","This date comes from the a survey of Discovery Coastal Park on the border of VIC/SA. The survey identified over 1000 middens dated primarily between b490 and 3860 BP, and were dominated by Donax sp. and Brachidontes sp (lesser representations of Mytilus and Ostrea sp. were also present). This date was published with a 450-yr marine correction, which has not been included here.",c14,,7320,,
11053,South East Coastal Plain,141.29,-38.21,"Noble's Rocks Survey Area, Site 3, Midden 3",Midden,Wk-1136,5770,60,,,Marine shell,Marine Shell,,,Radiocarbon,,Marine,Open,Y,"Godfrey, 1989","This date comes from the a survey of Discovery Coastal Park on the border of VIC/SA. The survey identified over 1000 middens dated primarily between b490 and 3860 BP, and were dominated by Donax sp. and Brachidontes sp (lesser representations of Mytilus and Ostrea sp. were also present). This date was published with a 450-yr marine correction, which has not been included here.",c14,,5770,,
11054,South East Coastal Plain,141.29,-38.21,"Noble's Rocks Survey Area, Site 45, Midden 1",Midden,Wk-1262,8940,70,,,Marine shell,Marine Shell,,,Radiocarbon,,Marine,Open,Y,"Godfrey, 1989","This date comes from the a survey of Discovery Coastal Park on the border of VIC/SA. The survey identified over 1000 middens dated primarily between b490 and 3860 BP, and were dominated by Donax sp. and Brachidontes sp (lesser representations of Mytilus and Ostrea sp. were also present). This date was published with a 450-yr marine correction, which has not been included here.",c14,,8940,,
11055,South East Coastal Plain,144.52,-38.27,Ocean Grove,Midden,N-834,335,50,,,Marine shell,Marine Shell,,,Radiocarbon,,Marine,Open,Y,"Gill 1973 cit. Godfrey et al., 1996",A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample is a shell midden located in a Holocene dune.,c14,,335,Information within this entry has been inferred by authors - see Notes,
11056,South East Coastal Plain,144.52,-38.27,Ocean Grove,Midden,N-832,470,105,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,"Gill 1973 cit. Godfrey et al., 1996",A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample is a shell midden located in a Holocene dune.,c14,,470,Information within this entry has been inferred by authors - see Notes,
11057,South East Coastal Plain,144.52,-38.27,Ocean Grove,Midden,N-831,5780,140,,,Charcoal,Charcoal,,7 m,Radiocarbon,,Terrestrial,Open,N,"Gill 1973 cit. Godfrey et al., 1996","A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample is a geological sample and comes from the lower dune deposits, 7 m beneath a midden and charcoal",c14,,5780,Information within this entry has been inferred by authors - see Notes,
11058,South East Coastal Plain,144.52,-38.27,Ocean Grove,Midden,N-835,14900,280,,,Subninella undulata shell,Marine Shell,,7 m,Radiocarbon,,Marine,Open,N,Gill unpub. cit.Godfrey et al. 1996,"A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample is a geological sample and comes from the lower dune deposits, 7 m beneath a midden and charcoal",c14,,14900,Information within this entry has been inferred by authors - see Notes,
11059,South East Coastal Plain,146.69,-38.67,"OSB 1, Port Albert",Midden,ANU-4974,2860,70,,,Anadara trapezia shell,Marine Shell,,,Radiocarbon,,Marine,Open,Y,"Hotchin 1990 cit. Boot, 2002; Hotchin 1989 cit. Godfrey et al., 1996","Boot (2002) published date as 2410+/-78 following correction for oceanic effect, -450 +/-35, after Gillespie & Temple (1979). Uncorrected values presented here. This sample is referenced in Godfrey et al 1996 as an exposed Anadara midden in the inlet near Port Albert.",c14,,2860,Information within this entry has been inferred by authors - see Notes,
11060,South East Coastal Plain,142.48,-38.39,Pertobe Coquina,Midden,Not given,5850,320,,,Marine shell,Marine Shell,,,Radiocarbon,,Marine,Open,U,"Gill, 1967 cit. Coutts, 1989","This date is referenced in Coutts (1989) in his discussion of the Tower Hill volcanic eruptions. Little information is given, the paper indicates that this sample comes from a midden post-dating the eruption.",c14,,5850,Information within this entry has been inferred by authors - see Notes,
11061,South East Coastal Plain,142.48,-38.39,Pertobe Coquina,Midden,Not given,6570,115,,,Marine shell,Marine Shell,,,Radiocarbon,,Marine,Open,U,"Gill, 1967 cit. Coutts, 1989","This date is referenced in Coutts (1989) in his discussion of the Tower Hill volcanic eruptions. Little information is given, the paper indicates that this sample comes from a midden post-dating the eruption.",c14,,6570,Information within this entry has been inferred by authors - see Notes,
11062,South East Coastal Plain,142.51,-38.4,Point Ritchie,Midden,SUA-2491B,27910,190,,,Subninella undulata shell-calcite layer,Marine Shell,,,Radiocarbon,,Marine,Open,U,"Sherwood et al., 1994 cit. Godfrey et al., 1996",A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample is from a shell layer on top of west stack near the mouth of Hopkins River. It is unclear if these are of human origin.,c14,,27910,,
11063,South East Coastal Plain,142.51,-38.4,Point Ritchie,Midden,SUA-2679,34000,800,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Open,U,"Sherwood et al., 1994 cit. Godfrey et al., 1996",A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample is from a shell layer on top of west stack near the mouth of Hopkins River. It is unclear if these are of human origin.,c14,,34000,,
11064,South East Coastal Plain,142.51,-38.4,Point Ritchie,Midden,SUA-2491,35700,500,,,Subninella undulata shell-aragonite layer,Marine Shell,,,Radiocarbon,,Marine,Open,U,"Sherwood et al., 1994 cit. Godfrey et al., 1996",A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample is from a shell layer on top of west stack near the mouth of Hopkins River. It is unclear if these are of human origin.,c14,,35700,,
11065,South East Coastal Plain,142.51,-38.4,Point Ritchie,Midden,SUA-2271,42100,+1710/-1360,,,Subninella undulata shell,Marine Shell,,,Radiocarbon,,Marine,Open,U,"Sherwood et al., 1994 cit. Godfrey et al., 1996",A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample is from a shell layer on top of west stack near the mouth of Hopkins River. It is unclear if these are of human origin.,c14,,42100,,
11066,South East Coastal Plain,142.51,-38.4,Point Ritchie,Midden,ARL-131,>30000,,,,Subninella undulata shell,Marine Shell,,,Radiocarbon,,Unusuable,Open,U,"Sherwood et al., 1994 cit. Godfrey et al., 1996",A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample is from a shell layer on top of west stack near the mouth of Hopkins River. It is unclear if these are of human origin.,c14,"Date not associated with human activity, or is problematic for time-series analysis - see Notes",,,
11067,South East Coastal Plain,145.51,-38.58,Powlett River Foredune (VAHR 8020-0001),Midden,Not given,1750BP,,,,Unknown,Other,,,Radiocarbon,,Unusuable,Open,U,"Richards et al., 2008 cit. Vines, n.d.","A reference to a date undertaken as part of a consulting archaeological investigation of proposed Powlett River foredune. This sample relates to the earlier deposits. No further contextual information provided. Unclear if this date was a radiocarbon age without error, or a calendar age.",c14,,,Information within this entry has been inferred by authors - see Notes,
11068,South East Coastal Plain,145.51,-38.58,Powlett River Foredune (VAHR 8020-0001),Midden,Not given,200-900BP,,,,Unknown,Other,,,Radiocarbon,,Unusuable,Open,Y,"Richards et al., 2008 cit. Vines, n.d.","A reference to a date undertaken as part of a consulting archaeological investigation of proposed Powlett River foredune. This sample relates to the upper midden deposits. No further contextual information provided.  Unclear if this date was a radiocarbon age without error, or a calendar age.",c14,,,Information within this entry has been inferred by authors - see Notes,
11069,South East Coastal Plain,145.01,-37.96,Red Bluff,Midden,ANU-4979,450,60,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,"Hotchin 1990 cit. Boot, 2002",Basal date of site.,c14,,450,Information within this entry has been inferred by authors - see Notes,
11070,South East Coastal Plain,145.01,-37.96,Red Bluff,Midden,ANU-4976,450,60,,,Charcoal,Charcoal,Layer B,,Radiocarbon,,Terrestrial,Open,U,"Hotchin, 1989 cit. Godfrey et al., 1996",A sample referenced as part of a compilation of Victorian radiocarbon dates. This sample comes from a shell midden on a rock platform. No further contextual information provided. This sample is identical to ANU-4977 and indicates rapid accumulation of the deposits.,c14,,450,Information within this entry has been inferred by authors - see Notes,
11071,South East Coastal Plain,145.01,-37.96,Red Bluff,Midden,ANU-4977,450,60,,,Charcoal,Charcoal,Layer D,,Radiocarbon,,Terrestrial,Open,U,"Hotchin, 1989 cit. Godfrey et al., 1996",A sample referenced as part of a compilation of Victorian radiocarbon dates. This sample comes from a shell midden on a rock platform. No further contextual information provided. This sample is identical to ANU-4976 and indicates rapid accumulation of the deposits.,c14,,450,Information within this entry has been inferred by authors - see Notes,
11072,South East Coastal Plain,145.01,-37.96,Red Bluff,Midden,ANU-4975,810,70,,,Ostrea angasi shell,Marine Shell,Layer D (second lowest),,Radiocarbon,,Marine,Open,U,"Hotchin, 1989 cit. Godfrey et al., 1996",A sample referenced as part of a compilation of Victorian radiocarbon dates. This sample comes from a shell midden on a rock platform. No further contextual information provided.,c14,,810,Information within this entry has been inferred by authors - see Notes,
11073,South East Coastal Plain,146.95,-38.57,Reeves Beach,Midden,ANU-5809,540,85,,,Marine shell,Marine Shell,,,Radiocarbon,,Marine,Open,Y,"Hotchin 1990 cit. Boot, 2002","References published date as  90+/-78 following correction for oceanic effect, -450 +/-35, after Gillespie & Temple (1979). Uncorrected values presented here. Basal date of site.",c14,,540,Information within this entry has been inferred by authors - see Notes,
11074,South East Coastal Plain,147.47,-38.13,Sperm Whale Head,Midden,ANU-5812,3000,102.18121158,,,Marine shell,Marine Shell,,,Radiocarbon,,Unusuable,Open,,"Hotchin 1990 cit. Boot, 2002","References published date as 2550+/-96 following correction for oceanic effect, -450 +/-35, after Gillespie & Temple (1979). Uncorrected values presented here. Original author considers this date erroneous.",c14,Date is considered erroneous - see Notes,3000,Information within this entry has been inferred by authors - see Notes,
11075,South East Coastal Plain,144.65,-38.11,Steele's Rocks 1,Midden,SUA-2209,650,60,,,Mylitus planulatus shell,Marine Shell,,,Radiocarbon,,Marine,Open,Y,Aboriginal Affairs Victoria cit. Godfrey et al. 1996,A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample is from an in situ shell midden exposed in cliff face near Portarlington.,c14,,650,Information within this entry has been inferred by authors - see Notes,
11076,South East Coastal Plain,141.19,-38.51,Stinker Bay,Midden,Beta-7061,250,50,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,"Gaughwin & Brennan, 1986","A shallow midden overlain by a clay cap. This date comes from the lowest midden deposits and is comparable with Beta-7062. Midden contains bones, shellfish and stone artefacts. Limpets dominate the shell and 10 artefacts from flint were also recovered.",c14,,250,,
11077,South East Coastal Plain,141.19,-38.51,Stinker Bay,Midden,Beta-7062,280,55,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,"Gaughwin & Brennan, 1986","A shallow midden overlain by a clay cap. This date comes from the lowest midden deposits and is comparable with Beta-7061. Midden contains bones, shellfish and stone artefacts. Limpets dominate the shell and 10 artefacts from flint were also recovered.",c14,,280,,
11078,South East Coastal Plain,141.29,-38.21,"Sutton's Rocks Survey Area, Site 13, Midden 1",Midden,Wk-411,360,60,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,"Godfrey, 1989","This date comes from the a survey of Discovery Coastal Park on the border of VIC/SA. The survey identified over 1000 middens dated primarily between b490 and 3860 BP, and were dominated by Donax sp. and Brachidontes sp (lesser representations of Mytilus and Ostrea sp. were also present).",c14,,360,,
11079,South East Coastal Plain,141.29,-38.21,"Sutton's Rocks Survey Area, Site 13, Midden 1",Midden,Wk-412,620,80,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,"Godfrey, 1989","This date comes from the a survey of Discovery Coastal Park on the border of VIC/SA. The survey identified over 1000 middens dated primarily between b490 and 3860 BP, and were dominated by Donax sp. and Brachidontes sp (lesser representations of Mytilus and Ostrea sp. were also present).",c14,,620,,
11080,South East Coastal Plain,141.29,-38.21,"Sutton's Rocks Survey Area, Site 13, Midden 2",Midden,Wk-1263,8680,60,,,Marine shell,Marine Shell,,,Radiocarbon,,Marine,Open,Y,"Godfrey, 1989","This date comes from the a survey of Discovery Coastal Park on the border of VIC/SA. The survey identified over 1000 middens dated primarily between b490 and 3860 BP, and were dominated by Donax sp. and Brachidontes sp (lesser representations of Mytilus and Ostrea sp. were also present).",c14,,8680,,
11081,South East Coastal Plain,146.27,-38.97,Tarwin/1,Midden,Gak-971,6010,110,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,"Coutts, 1970","A geomorphological and archaeological study of Wilson's Promontory with a focus on the various sand dune units. Excavations of the sites revealed two assemblages. Assemblage A was dominated by backed blades and rock platform shellfish (note there are no rock platforms at present day sea level) and was wider spread. Overlying assemblage A, was assemblage B consisting of crude flakes and large core industry and was associated with edge-ground axes. Peak shell densities appear to occur between spits 7 - 11 and at 3 (stone densities only between 3-11) in YW11/1 and spits 6 and 11 in YW 9 (with stone densities at spit 3). Sites 'A' were considered to be associated with exploitation freshwater gastropods from land-locked lagoons and formed between 6500 - 3000 BP. Sites 'B' indicate a diversification of exploitation and a changing preference of raw materials. Also called 'ARch Rock'.",c14,,6010,,
11082,South East Coastal Plain,142.05,-38.34,The Craigs 1,Midden,SUA-775,780,95,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,"Coutts, 1978 cit. Bird & Frankel, 1991","A study (Bird & Frankel, 1991) using radiometric dates of southwest Victoria as a proxy for occupation/activity. The paper concludes that late Holocene intensification, at least from a social perspective perspective, was not the case. However, the paper does show increasing numbers of dates (n=80) in the late Holocene. Interesting features of the study include an apparent hiatus between 6-7ka and the appearance of earth mounds only in the last 2.5ka.",c14,,780,,
11083,South East Coastal Plain,142.05,-38.34,The Craigs 1,Midden,SUA-774,2265,100,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,"Lourandos and Williams various cit. Attenbrow, 2004; Coutts, 1978 cit. Bird & Frankel, 1991","A study (Bird & Frankel, 1991) using radiometric dates of southwest Victoria as a proxy for occupation/activity. The paper concludes that late Holocene intensification, at least from a social perspective perspective, was not the case. However, the paper does show increasing numbers of dates (n=80) in the late Holocene. Interesting features of the study include an apparent hiatus between 6-7ka and the appearance of earth mounds only in the last 2.5ka. This date was the lower of two levels.",c14,,2265,,
11084,South East Coastal Plain,144.74,-38.34,The Sisters 3,Midden,SUA-2036,340,70,,,Charcoal,Charcoal,"Station 2, upper shell layer",,Radiocarbon,,Terrestrial,Open,U,Aboriginal Affairs Victoria cit. Godfrey et al. 1996,A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample is from a shell midden on a Pleistocene dune on a cliff near Port Phillip Bay.,c14,,340,Information within this entry has been inferred by authors - see Notes,
11085,South East Coastal Plain,144.74,-38.34,The Sisters 3,Midden,Beta-5817,360,40,,,Charcoal,Charcoal,"Station 1, upper shell layer",,Radiocarbon,,Terrestrial,Open,U,Aboriginal Affairs Victoria cit. Godfrey et al. 1996,A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample is from a shell midden on a Pleistocene dune on a cliff near Port Phillip Bay.,c14,,360,Information within this entry has been inferred by authors - see Notes,
11086,South East Coastal Plain,144.74,-38.34,The Sisters 3,Midden,SUA-2034,730,70,,,Charcoal,Charcoal,"Station 4, upper shell layer",,Radiocarbon,,Terrestrial,Open,U,Aboriginal Affairs Victoria cit. Godfrey et al. 1996,A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample is from a shell midden on a Pleistocene dune on a cliff near Port Phillip Bay.,c14,,730,Information within this entry has been inferred by authors - see Notes,
11087,South East Coastal Plain,144.74,-38.34,The Sisters 3,Midden,SUA-2035,1760,70,,,Charcoal,Charcoal,"Station 4, lower shell layer",,Radiocarbon,,Terrestrial,Open,U,Aboriginal Affairs Victoria cit. Godfrey et al. 1996,A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample is from a shell midden on a Pleistocene dune on a cliff near Port Phillip Bay.,c14,,1760,Information within this entry has been inferred by authors - see Notes,
11088,South East Coastal Plain,144.74,-38.34,The Sisters 3,Midden,Beta-5818,1940,60,,,Charcoal,Charcoal,"Station 1, lower shell layer",,Radiocarbon,,Terrestrial,Open,U,Aboriginal Affairs Victoria cit. Godfrey et al. 1996,A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample is from a shell midden on a Pleistocene dune on a cliff near Port Phillip Bay.,c14,,1940,Information within this entry has been inferred by authors - see Notes,
11089,South East Coastal Plain,141.29,-38.21,"Transect 8, Site 1, Midden 1",Midden,Wk-1264,4310,50,,,Marine shell,Marine Shell,,,Radiocarbon,,Marine,Open,Y,"Godfrey, 1989","This date comes from the a survey of Discovery Coastal Park on the border of VIC/SA. The survey identified over 1000 middens dated primarily between b490 and 3860 BP, and were dominated by Donax sp. and Brachidontes sp (lesser representations of Mytilus and Ostrea sp. were also present). This date was published with a 450-yr marine correction, which has not been included here.",c14,,4310,,
11090,South East Coastal Plain,142.49,-38.29,Warrnambool Bay-North Shore,Midden,SUA-1614,5930,100,,,Subninella undulata shell,Marine Shell,,,Radiocarbon,,Marine,Open,U,Gill unpub. cit.Godfrey et al. 1996,A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample is from some shells found in a black soil. No further contextual information is provided.,c14,,5930,Information within this entry has been inferred by authors - see Notes,
11091,South East Coastal Plain,145.53,-38.59,Wothaggi Desal Plant,Midden,Wk-24941,522,43,,,Marine shell,Marine Shell,TP # 39,5-10,Radiocarbon,,Marine,Open,U,"Vines, n.d.",A date referred to in a spreadsheet listing radiocarbon dates for Victoria. This sample was obtained as part of an excavation in advance of a desalination plant. No further contextual information is provided.,c14,,522,Information within this entry has been inferred by authors - see Notes,
11092,South East Coastal Plain,145.53,-38.59,Wothaggi Desal Plant,Midden,Wk-24942,661,678,,,Marine shell,Marine Shell,TP # 39,20,Radiocarbon,,Marine,Open,U,"Vines, n.d.",A date referred to in a spreadsheet listing radiocarbon dates for Victoria. This sample was obtained as part of an excavation in advance of a desalination plant. No further contextual information is provided.,c14,,661,Information within this entry has been inferred by authors - see Notes,
11093,South East Coastal Plain,145.53,-38.59,Wothaggi Desal Plant,Midden,Wk-24940,7666,63,,,Charcoal,Charcoal,TP # 30,65-75,Radiocarbon,,Terrestrial,Open,U,"Vines, n.d.",A date referred to in a spreadsheet listing radiocarbon dates for Victoria. This sample was obtained as part of an excavation in advance of a desalination plant. No further contextual information is provided.,c14,,7666,Information within this entry has been inferred by authors - see Notes,
